Time_ms,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17,Sensor 18,Sensor 19,Sensor 20,Sensor 21,Sensor 22,Sensor 23,Sensor 24
4272,100.87,99.94,31.29,29.41,30.66,30.58,32.81,30.66,31.2,39.68,32.51,32.03,39.39,36.59,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.69,43,92.25
4293,100.87,99.94,31.29,29.41,30.58,30.49,32.91,30.66,31.2,39.68,32.41,32.03,39.54,36.59,33.01,31.84,40.43,44.24,38.01,38.83,39.25,38.69,43,91.47
4311,100.87,99.94,31.29,29.41,30.58,30.49,32.91,30.75,31.2,39.68,32.41,32.03,39.54,36.59,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.55,42.83,91.47
4331,100.87,98.12,31.29,29.41,30.66,30.49,32.91,30.75,31.11,39.68,32.41,32.03,39.54,36.59,33.01,31.84,40.43,44.24,38.01,38.83,39.25,38.69,42.83,92.25
4352,100.87,99.94,31.02,29.33,30.66,30.58,32.91,30.66,31.2,39.68,32.51,32.12,39.54,36.59,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.55,43,92.25
4370,100.87,99.02,31.29,29.41,30.66,30.58,32.91,30.75,31.2,39.68,32.51,32.03,39.54,36.71,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.55,43,92.25
4391,100.87,99.94,31.29,29.33,30.66,30.58,32.81,30.75,31.2,39.68,32.41,32.03,39.54,36.59,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.55,43,92.25
4409,100.87,99.02,31.29,29.41,30.58,30.58,32.91,30.75,31.2,39.68,32.41,32.03,39.54,36.71,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.69,43,92.25
4430,100.87,99.02,31.29,29.41,30.66,30.58,32.81,30.75,31.2,39.68,32.51,32.03,39.54,36.59,33.01,31.84,40.43,44.24,38.01,38.83,39.25,38.55,43,92.25
4448,101.83,99.94,31.29,29.41,30.58,30.49,61.68,30.66,31.2,39.68,32.51,32.03,39.39,36.59,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.55,42.83,92.25
4469,100.87,99.94,31.29,29.41,30.66,30.58,32.81,30.75,31.2,39.68,32.41,32.03,39.54,36.59,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.55,43,92.25
4487,101.83,99.94,31.29,29.41,30.66,30.58,32.81,30.75,31.2,39.83,32.51,32.03,39.39,36.71,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.55,43,92.25
4508,101.83,99.94,31.29,29.41,30.66,30.58,32.91,30.75,31.2,39.83,32.51,32.03,39.25,36.71,33.01,31.84,40.12,44.24,37.87,38.83,39.25,38.69,43,92.25
4528,100.87,99.94,31.29,29.41,30.66,30.58,32.91,30.66,31.2,39.83,32.51,32.03,39.39,36.59,33.01,31.84,40.43,44.06,38.01,38.97,39.25,38.69,42.83,92.25
4546,101.83,99.94,31.29,29.41,30.58,30.58,32.91,30.75,31.2,39.83,32.41,32.03,39.39,36.59,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.69,42.83,93.05
4567,101.83,99.02,31.29,29.41,30.66,30.58,33.01,30.75,31.2,39.83,32.41,32.03,39.39,36.59,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.69,43,93.05
4585,102.8,99.94,31.29,29.41,30.66,30.58,32.91,30.75,31.2,39.83,32.51,32.03,39.39,36.59,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.55,43,92.25
4606,101.83,99.94,31.29,29.41,30.66,30.58,32.91,30.75,31.2,39.83,32.51,32.03,39.39,36.59,33.01,31.84,40.43,44.24,38.01,38.83,39.25,38.69,43,93.05
4624,100.87,99.94,31.29,29.41,30.66,30.58,32.91,30.75,31.2,39.83,32.41,32.03,39.39,36.59,33.01,31.93,40.12,44.24,38.01,38.97,39.25,38.55,43,93.05
4645,101.83,99.94,31.29,29.41,30.58,30.58,32.91,30.75,31.2,39.83,32.51,32.03,39.39,36.71,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.69,43,93.05
4663,101.83,99.94,31.29,29.41,30.66,30.58,32.91,30.75,31.2,39.83,32.51,32.03,39.39,36.71,33.01,31.84,40.43,44.24,38.01,38.83,39.25,38.69,43,92.25
4684,101.83,99.94,31.29,29.41,30.66,30.58,32.91,30.75,31.2,39.68,32.51,32.12,39.39,36.59,33.01,31.84,40.27,44.24,38.01,38.83,39.25,38.55,42.83,93.05
4704,101.83,99.94,31.29,29.33,30.66,30.58,32.91,30.75,31.2,39.83,32.51,32.12,39.39,36.59,33.01,31.93,40.43,44.24,38.01,38.83,39.25,38.55,42.83,93.05
4725,101.83,99.94,32.12,29.41,30.66,30.49,32.91,30.75,31.2,39.83,32.51,32.12,39.39,36.59,33.01,31.84,40.43,44.24,38.01,38.83,39.25,38.55,42.83,93.05
4743,101.83,99.94,33.94,29.41,30.66,30.58,32.91,30.75,31.2,39.68,32.41,32.03,39.39,36.59,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.69,42.83,93.05
4764,101.83,99.94,32.71,29.41,30.66,30.58,32.81,30.75,31.2,39.83,32.51,32.03,39.39,36.59,33.01,31.93,40.43,44.24,38.01,38.97,39.25,38.55,42.83,93.05
4782,101.83,99.94,31.29,29.41,30.66,30.58,32.81,30.75,31.2,39.83,32.41,32.03,39.25,36.59,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.69,42.83,93.05
4802,100.87,100.87,31.29,29.41,30.66,30.49,32.91,30.75,31.2,39.83,32.51,32.03,39.39,36.59,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.69,42.83,93.05
4821,100.87,99.94,31.29,29.41,30.66,30.58,32.91,30.66,31.02,39.83,32.51,32.03,39.39,36.59,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.69,42.83,93.05
4841,100.87,99.94,31.29,29.41,30.66,30.58,32.81,30.75,31.2,39.83,32.41,32.03,39.39,36.59,33.01,31.84,40.43,44.24,38.01,38.97,39.25,38.69,42.83,93.05
4860,100.87,99.94,31.29,29.41,30.66,30.58,32.81,30.75,31.2,39.83,32.41,32.12,39.54,36.59,33.01,31.93,40.43,44.24,38.01,38.97,39.25,38.55,42.83,93.05
4880,100.87,99.94,31.29,29.41,30.66,30.58,32.81,30.75,31.2,39.83,32.51,32.03,39.39,36.59,33.01,31.93,40.43,44.24,38.01,38.83,39.25,38.69,43,93.05
4901,100.87,99.94,31.29,29.41,30.66,30.58,32.81,30.75,31.29,39.83,32.41,32.03,39.39,36.71,33.01,31.93,40.43,44.24,38.01,38.83,39.25,38.69,42.83,93.86
4919,101.83,100.87,31.29,29.41,30.66,30.49,32.81,30.75,31.29,39.68,32.41,32.03,39.54,36.71,33.01,31.84,40.27,44.24,38.01,38.83,39.25,38.55,42.83,93.86
4940,100.87,99.94,31.29,29.41,30.66,30.49,32.81,30.75,31.11,39.83,32.41,32.03,39.54,36.71,33.01,31.84,40.27,44.97,38.01,38.83,39.25,38.69,42.83,93.86
4958,100.87,99.02,31.29,29.41,30.58,30.58,32.81,30.66,31.2,39.83,32.41,32.03,39.54,36.71,33.01,31.93,40.43,44.42,38.01,38.97,39.25,38.55,42.83,93.05
4979,100.87,100.87,31.29,29.33,30.58,30.49,32.81,30.75,31.2,39.68,32.51,32.03,39.68,36.59,33.01,31.93,40.43,44.6,38.01,38.97,39.25,38.69,43,93.86
4997,99.02,99.02,31.29,29.41,30.58,30.49,32.81,30.75,31.11,39.83,32.41,32.03,39.68,36.71,33.01,31.93,40.43,44.79,38.01,38.83,39.25,38.69,42.83,92.25
5018,70.09,98.12,31.29,29.41,30.58,30.58,32.81,30.75,30.93,39.83,32.51,32.03,39.54,36.71,33.01,31.93,40.43,44.6,38.01,38.83,39.25,38.69,42.83,93.05
5038,67.88,97.24,31.29,29.41,30.58,30.49,32.81,30.75,31.02,39.68,32.41,32.12,39.54,36.71,33.01,31.93,40.43,44.79,38.01,38.83,39.25,38.69,42.83,93.05
5056,97.24,99.94,31.29,29.41,30.58,30.49,32.81,30.75,31.11,39.68,32.41,32.03,39.83,36.71,32.91,31.93,40.43,44.79,38.01,38.83,39.25,38.55,42.83,92.25
5077,55.07,97.24,31.29,29.33,30.66,30.49,32.81,30.75,31.2,39.68,32.41,32.03,39.54,36.71,33.01,31.93,40.43,45.16,38.01,38.83,39.25,38.69,42.83,93.05
5095,73.43,99.02,31.29,29.41,30.58,30.49,32.81,30.66,31.2,39.83,32.41,32.03,52.91,36.59,33.01,31.84,40.43,44.79,38.01,38.83,39.25,38.55,42.83,93.05
5116,70.55,97.24,31.29,29.41,30.58,30.49,32.81,30.75,31.02,34.37,32.51,32.03,39.68,36.59,33.01,31.93,40.43,45.16,38.01,38.83,39.25,38.55,42.83,93.05
5134,69.19,98.12,31.29,29.41,30.58,30.58,32.71,30.75,31.2,31.93,32.41,32.03,46.32,36.59,33.01,31.93,40.27,44.6,38.01,38.83,39.25,38.55,42.83,93.86
5155,99.94,99.94,31.29,29.41,30.58,30.49,32.81,30.75,31.02,31.93,32.51,32.03,39.39,36.71,33.01,31.93,40.43,45.16,38.01,38.83,39.25,38.69,42.83,93.86
5173,100.87,99.94,31.38,29.41,30.58,30.49,32.81,30.75,31.02,31.93,32.41,32.12,39.25,36.71,33.01,31.84,40.43,44.97,38.01,38.83,39.25,38.69,42.83,94.68
5194,99.94,99.02,31.38,29.41,30.58,30.49,32.81,30.66,30.93,31.93,32.41,32.03,39.39,36.71,33.01,31.93,40.43,44.79,38.01,38.83,39.25,38.55,42.83,93.05
5214,55.07,96.37,31.29,29.41,30.58,30.49,32.71,30.75,31.11,31.93,32.41,32.03,39.54,36.71,33.01,31.93,40.43,44.79,38.01,38.83,39.25,38.55,42.83,94.68
